Compound_Name,T_K,Dexp×10-9/m2·s-1,ln(Dexp×10-9/m2·s-1),SMILES_PubChem,ref,can_SMILES,can_SMILES_T_K
eicosamethylnonasiloxane,298.16,0.179142434,-1.71957407,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,acs.iecr.2c03342,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C@298.16
octamethylcyclotetrasiloxane,298.8854251,0.393986317,-0.9314391,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,acs.iecr.2c03342,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1@298.8854251
octamethylcyclotetrasiloxane,299.297915,0.398432147,-0.920218066,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,acs.iecr.2c03342,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1@299.297915
trimethylchlorosilane,295.8721232,2.466788858,0.9029172474899756,C[Si](C)(C)Cl,acs.iecr.2c03342,C[Si](C)(C)Cl,C[Si](C)(C)Cl@295.8721232
"trichloro (3,3,3-trifluoropropyl) silane",298.16,1.088500893,0.084801423,C(C[Si](Cl)(Cl)Cl)C(F)(F)F,acs.iecr.2c03342,FC(F)(F)CC[Si](Cl)(Cl)Cl,FC(F)(F)CC[Si](Cl)(Cl)Cl@298.16
"trichloro (1-chloro-3,3,3-trifluoropropyl) silane",298.16,0.82499214,-0.19238142,C(C([Si](Cl)(Cl)Cl)Cl)C(F)(F)F,acs.iecr.2c03342,FC(F)(F)CC(Cl)[Si](Cl)(Cl)Cl,FC(F)(F)CC(Cl)[Si](Cl)(Cl)Cl@298.16
dichloromethane,298.16,3.648,1.294179072212085,C(Cl)Cl,acs.iecr.2c03342,ClCCl,ClCCl@298.16
chloroform,295.3518308,2.863346865,1.0519911730289695,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@295.3518308
chloroform,296.3989488,2.760336237,1.0153524971936985,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@296.3989488
chloroform,298.2586386,2.902827776,1.0656853572116778,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@298.2586386
chloroform,299.9500513,2.956694811,1.084072026594657,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@299.9500513
carbon tetrachloride,298.16,1.3166,0.2750526560516392,C(Cl)(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl@298.16
carbon tetrachloride,298.2,1.296,0.2592825979300829,C(Cl)(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl@298.2
dibromomethane,295.5831433,1.443501698,0.367071896,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@295.5831433
dibromomethane,297.8248152,1.488755239,0.39794036,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@297.8248152
