molecule,box,D_m2_s,window_ps
584,35,1.2125057262081388e-10,1949.5
585,35,1.2245995853289292e-11,1574.5
588,35,1.0058901222923175e-09,1949.5
589,35,4.174387443874826e-10,1949.5
592,35,4.83252424209642e-10,1949.5
594,35,4.5290802352405554e-09,1949.5
595,35,1.7147774884845844e-09,1949.5
596,35,2.1777920745906523e-09,1949.5
597,35,2.935840894267348e-09,1949.5
598,35,1.0275673441627959e-09,1949.5
599,35,3.7057129385754646e-09,1949.5
600,35,1.1042780965188696e-09,1949.5
601,35,1.2431680022816475e-10,1949.5
602,35,8.90966032082034e-11,1949.5
603,35,5.1321800428200774e-11,1899.5
604,35,1.8652111116751567e-09,1949.5
605,35,8.757653623457801e-10,1949.5
606,35,1.1336221776038599e-09,1949.5
607,35,7.197478626414426e-10,1949.5
608,35,4.36337521696644e-10,1949.5
609,35,8.593532440885943e-12,1349.5
610,35,1.987005779732676e-09,1949.5
611,35,2.105427898470801e-09,1949.5
612,35,8.456629843555964e-10,1949.5
613,35,1.6887343194407052e-09,1949.5
614,35,1.0560545950290375e-09,1949.5
615,35,8.774609306892251e-10,1949.5
616,35,9.32130841729569e-10,1949.5
617,35,1.0464125633683466e-09,1949.5
618,35,5.34505797164278e-10,1949.5
619,35,9.802912787298886e-11,1949.5
620,35,2.6102494536898538e-11,1524.5
621,35,2.2957198631556587e-10,1949.5
622,35,1.532522391942916e-10,1949.5
623,35,4.166988214879665e-11,1949.5
624,35,9.72601781290873e-11,1949.5
625,35,2.2440083643689307e-11,1949.5
626,35,4.0759200306919615e-11,1849.5
627,35,6.930635588611044e-10,1949.5
628,35,1.8057167354868235e-10,1949.5
629,35,3.7950794738933406e-11,1724.5
630,35,1.6147116474124433e-11,974.5
631,35,1.373489315847242e-11,1424.5
632,35,1.2680030061650196e-11,1874.5
633,35,9.924083965642133e-12,1149.5
634,35,6.549536753927588e-12,1549.5
635,35,9.22968077907711e-12,1449.5
636,35,1.41801556888181e-11,1949.5
637,35,8.22461359513178e-12,1299.5
638,35,8.31575937884788e-12,1624.5
639,35,5.279399599126897e-12,749.5
641,35,3.823128915711599e-12,1249.5
642,35,1.3471680711426029e-12,699.5
644,35,1.791596092920576e-12,1874.5
645,35,9.180156338973431e-13,1899.5
647,35,1.534483256521303e-12,924.5
649,35,1.7213967295810545e-12,649.5
650,35,4.03737538403287e-12,1874.5
651,35,5.677050791711243e-13,974.5
652,35,9.00305409995315e-13,224.5
654,35,1.94342735157895e-12,1424.5
655,35,7.315914949296181e-13,574.5
656,35,1.0960581602194609e-12,224.5
657,35,1.140684040229952e-12,1024.5
658,35,3.433435155374924e-12,1649.5
659,35,1.141722557184667e-12,649.5
661,35,3.019942486837057e-12,1224.5
662,35,4.496518523479095e-12,1499.5
664,35,2.7278866214731346e-12,1699.5
665,35,3.788538763630453e-12,724.5
666,35,1.802392483768008e-12,1049.5
667,35,2.256490666605877e-12,1449.5
669,35,1.9779017251539853e-12,1249.5
670,35,2.861626576339911e-12,774.5
672,35,3.279897112758685e-12,1524.5
674,35,9.00683849641033e-13,699.5
