Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
"1,6-Hexanediol Diglycidyl Ether",C1C(O1)COCCCCCCOCC2CO2,-3.87,-7.43,38,305.15,Breast,"Flow-
Through",Hanks’ balanced salt solution (HBSS) + 25 mM HEPES (pH 7.4) + 2.5% BSA + Gentamicin 50 µg/mL,C(CCCOCC1CO1)CCOCC1CO1
"1,6-Hexanediol Diglycidyl Ether",C1C(O1)COCCCCCCOCC2CO2,-3.86,-7.42,31,,"Mammaplasty, Breast",Flow Through Cell,Hanks balanced salt solution,C(CCCOCC1CO1)CCOCC1CO1
17-A-Hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,-3.22,-6.78,20,299.15,Human Epidermal Membrane,Horizontal Glass Diffusion Chamber,Aqueous penicillin–streptomycin solution,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
17-A-Hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,0.34,-3.22,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
17Beta-Estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.16,-2.4,16,305.15,Abdominal Human Skin,Static,PBS/Saline,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
2-(2-Butoxyethoxy)Ethanol,CCCCOCCOCCO,-4.45,-8.01,35,303.15,Abdomen,Static,Distilled water,CCCCOCCOCCO
2-(2-Butoxyethoxy)Ethanol,CCCCOCCOCCO,-0.89,-4.45,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CCCCOCCOCCO
2-(2-Ethoxyethoxy)Ethanol,CCOCCOCCO,-3.88,-7.44,35,303.15,Abdomen,Static,Distilled water,CCOCCOCCO
2-(2-Ethoxyethoxy)Ethanol,CCOCCOCCO,-0.32,-3.88,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CCOCCOCCO
2-(Acetylamino)Fluorene,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.17,-4.73,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
2-(Acetylamino)Fluorene,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.11,-4.66,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
"2-Amino-3-Methylimidazo[4,5_F]Quinoline",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,0.28,-3.28,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,Cn1c(N)nc2c3cccnc3ccc21
2-Amino-4-Nitrophenol,C1=CC(=C(C=C1[N+](=O)[O-])N)O,-3.18,-6.74,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,Nc1cc([N+](=O)[O-])ccc1O
2-Amino-4-Nitrophenol,C1=CC(=C(C=C1[N+](=O)[O-])N)O,-3.08,-6.64,107,,Human Skin,,,Nc1cc([N+](=O)[O-])ccc1O
2-Aminophenol,C1=CC=C(C(=C1)N)O,0.49,-3.07,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,Nc1ccccc1O
2-Butanone,CCC(=O)C,-2.35,-5.91,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,CCC(C)=O
2-Butanone,CCC(=O)C,-2.95,-6.51,3,305.15,Abdominal Human Skin,Static/Stirred,Phosphate-buffered saline,CCC(C)=O
2-Butoxyethanol,CCCCOCCO,-2.8,-6.36,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CCCCOCCO
2-Butoxyethanol,CCCCOCCO,-2.85,-6.41,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCCCOCCO
2-Butoxyethanol,CCCCOCCO,-3.67,-7.23,35,303.15,Abdomen,Static,Distilled water,CCCCOCCO
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,-1.48,-5.04,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccccc1Cl
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,-1,-4.56,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1ccccc1Cl
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,-1.24,-4.8,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Oc1ccccc1Cl
2-Cresol,CC1=CC=CC=C1O,-1.8,-5.36,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1ccccc1O
2-Cresol,CC1=CC=CC=C1O,-2,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccccc1O
2-Ethoxyethanol,CCOCCO,-3.6,-7.16,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCOCCO
2-Ethoxyethanol,CCOCCO,-3.12,-6.68,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCOCCO
2-Ethoxyethanol,CCOCCO,-3.36,-6.92,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,CCOCCO
2-Ethoxyethyl Acetate,CCOCCOC(=O)C,-2.84,-6.4,52,310.15,Cadaver,Franz Cell,Dulbecco PBS,CCOCCOC(C)=O
2-Ethoxyethyl Acetate,CCOCCOC(=O)C,-3.09,-6.65,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,CCOCCOC(C)=O
2-Ethylhexanol,CCCCC(CC)CO,-4.34,-7.9,52,303.15,Cadaver,Franz Cell,Dulbecco PBS,CCCCC(CC)CO
2-Ethylhexyl Acrylate,CCCCC(CC)COC(=O)C=C,-1.51,-5.07,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,C=CC(=O)OCC(CC)CCCC
2-Ethylhexyl Acrylate,CCCCC(CC)COC(=O)C=C,-1.82,-5.38,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,C=CC(=O)OCC(CC)CCCC
2-Heptanone,CCCCCC(=O)C,-2,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCCCCC(C)=O
2-Hexanone,CCCCC(=O)C,-2.35,-5.91,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCCCC(C)=O
2-Hydroxypropyl Nicotinate,CC(CO)OC(=O)c1cccnc1,-3.99,-7.55,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(CO)OC(=O)c1cccnc1
2-Hydroxypropyl Nicotinate,CC(CO)OC(=O)c1cccnc1,-4.23,-7.79,107,,Human Skin,,,CC(CO)OC(=O)c1cccnc1
2-Isopropoxyethanol,CC(C)OCCO,0.2,-3.36,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CC(C)OCCO
2-Isopropoxyethanol,CC(C)OCCO,-3.35,-6.91,109,305.15,Human Abdominal Skin,Static,PBS,CC(C)OCCO
2-Isopropyl-5-Methylphenol,CC1=CC(=C(C=C1)C(C)C)O,2.77,-0.79,17,305.15,Abdominal Human Skin,Static/Side-By-Side,PBS/Saline,Cc1ccc(C(C)C)c(O)c1
2-Isopropyl-5-Methylphenol,CC1=CC(=C(C=C1)C(C)C)O,-1.27,-4.83,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccc(C(C)C)c(O)c1
